Date,Product,UnitPrice,Quantity,TotalSales
2025-05-01,Butter Croissant,65,2,130
2025-05-01,Club Sandwich,110,2,220
2025-05-01,Espresso,60,1,60
2025-05-01,Ham & Cheese Sandwich,85,1,85
2025-05-01,Hot Cappuccino,75,1,75
2025-05-01,Hot Chocolate,70,2,140
2025-05-01,Hot Mocha,80,1,80
2025-05-01,Iced Americano,70,1,70
2025-05-01,Iced Mocha,85,3,255
2025-05-01,Iced Thai Tea,70,1,70
2025-05-01,Sausage Roll,75,1,75
2025-05-02,Almond Croissant,85,1,85
2025-05-02,Banoffee Pie,100,1,100
2025-05-02,Blueberry Muffin,60,1,60
2025-05-02,Carrot Cake,110,1,110
2025-05-02,Chicken Pie,85,1,85
2025-05-02,Chocolate Chip Cookie,45,1,45
2025-05-02,Ham & Cheese Sandwich,85,3,255
2025-05-02,Hot Americano,65,1,65
2025-05-02,Hot Caramel Macchiato,80,1,80
2025-05-02,Hot Chocolate,70,1,70
2025-05-02,Hot Latte,75,1,75
2025-05-02,Hot Matcha Latte,80,1,80
2025-05-02,Iced Americano,70,1,70
2025-05-02,Iced Latte,80,1,80
2025-05-02,Iced Lemon Tea,65,1,65
2025-05-02,Iced Matcha Latte,90,1,90
2025-05-02,Pain au Chocolat,80,1,80
2025-05-02,Peach Tea,65,1,65
2025-05-02,Red Velvet Cake,110,1,110
2025-05-02,Sausage Roll,75,1,75
2025-05-02,Spinach Quiche,95,2,190
2025-05-02,Strawberry Italian Soda,60,1,60
2025-05-03,Banoffee Pie,100,1,100
2025-05-03,Blueberry Muffin,60,1,60
2025-05-03,Butter Croissant,65,2,130
2025-05-03,Cold Brew,90,2,180
2025-05-03,Earl Grey Tea,55,2,110
2025-05-03,Flat White,75,1,75
2025-05-03,Hot Americano,65,1,65
2025-05-03,Hot Caramel Macchiato,80,1,80
2025-05-03,Hot Chocolate,70,1,70
2025-05-03,Hot Latte,75,1,75
2025-05-03,Hot Matcha Latte,80,2,160
2025-05-03,Iced Chocolate,80,2,160
2025-05-03,Iced Lemon Tea,65,1,65
2025-05-03,Iced Matcha Latte,90,1,90
2025-05-03,Iced Thai Tea,70,2,140
2025-05-03,New York Cheesecake,120,1,120
2025-05-03,Pain au Chocolat,80,2,160
2025-05-03,Peach Tea,65,1,65
2025-05-03,Spinach Quiche,95,2,190
2025-05-03,Yuzu Soda,70,1,70
2025-05-04,Banoffee Pie,100,3,300
2025-05-04,Carrot Cake,110,1,110
2025-05-04,Chocolate Chip Cookie,45,1,45
2025-05-04,Chocolate Fudge Cake,105,1,105
2025-05-04,Earl Grey Tea,55,1,55
2025-05-04,Fudgy Brownie,75,2,150
2025-05-04,Ham & Cheese Sandwich,85,1,85
2025-05-04,Hot Chocolate,70,1,70
2025-05-04,Hot Latte,75,3,225
2025-05-04,Hot Mocha,80,1,80
2025-05-04,Iced Chocolate,80,1,80
2025-05-04,Iced Lemon Tea,65,1,65
2025-05-04,Iced Thai Tea,70,3,210
2025-05-04,New York Cheesecake,120,1,120
2025-05-04,Red Velvet Cake,110,1,110
2025-05-04,Spinach Quiche,95,1,95
2025-05-04,Strawberry Italian Soda,60,1,60
2025-05-04,Tiramisu,125,1,125
2025-05-04,Yuzu Soda,70,2,140
2025-05-05,Almond Croissant,85,1,85
2025-05-05,Banoffee Pie,100,2,200
2025-05-05,Carrot Cake,110,1,110
2025-05-05,Chamomile Tea,55,1,55
2025-05-05,Earl Grey Tea,55,1,55
2025-05-05,Espresso,60,1,60
2025-05-05,Fudgy Brownie,75,2,150
2025-05-05,Hot Latte,75,1,75
2025-05-05,Hot Matcha Latte,80,1,80
2025-05-05,Hot Thai Tea,60,1,60
2025-05-05,Iced Americano,70,1,70
2025-05-05,Iced Matcha Latte,90,2,180
2025-05-05,Iced Mocha,85,1,85
2025-05-05,Iced Thai Tea,70,1,70
2025-05-05,New York Cheesecake,120,1,120
2025-05-05,Peach Tea,65,1,65
2025-05-05,Red Velvet Cake,110,1,110
2025-05-05,Sausage Roll,75,1,75
2025-05-05,Strawberry Italian Soda,60,1,60
2025-05-05,Yuzu Soda,70,2,140
2025-05-06,Blueberry Muffin,60,1,60
2025-05-06,Butter Croissant,65,1,65
2025-05-06,Carrot Cake,110,1,110
2025-05-06,Cold Brew,90,3,270
2025-05-06,Espresso,60,2,120
2025-05-06,Hot Americano,65,2,130
2025-05-06,Hot Chocolate,70,1,70
2025-05-06,Hot Latte,75,1,75
2025-05-06,Hot Mocha,80,1,80
2025-05-06,Hot Thai Tea,60,1,60
2025-05-06,Iced Americano,70,1,70
2025-05-06,Iced Chocolate,80,2,160
2025-05-06,Iced Matcha Latte,90,1,90
2025-05-06,Iced Thai Tea,70,1,70
2025-05-06,Peach Tea,65,1,65
2025-05-06,Sausage Roll,75,1,75
2025-05-06,Strawberry Italian Soda,60,2,120
2025-05-06,Tiramisu,125,2,250
2025-05-06,Yuzu Soda,70,1,70
2025-05-07,Banoffee Pie,100,1,100
2025-05-07,Chocolate Chip Cookie,45,2,90
2025-05-07,Espresso,60,1,60
