Date,Product,UnitPrice,Quantity,TotalSales
2025-11-01,Almond Croissant,85,2,170
2025-11-01,Butter Croissant,65,4,260
2025-11-01,Carrot Cake,110,3,330
2025-11-01,Chamomile Tea,55,1,55
2025-11-01,Chicken Pie,85,1,85
2025-11-01,Club Sandwich,110,2,220
2025-11-01,Coffee Frappe,95,1,95
2025-11-01,Cold Brew,90,1,90
2025-11-01,Espresso,60,3,180
2025-11-01,Flat White,75,1,75
2025-11-01,Fudgy Brownie,75,3,225
2025-11-01,Ham & Cheese Sandwich,85,4,340
2025-11-01,Hot Americano,65,1,65
2025-11-01,Hot Cappuccino,75,2,150
2025-11-01,Hot Caramel Macchiato,80,6,480
2025-11-01,Hot Chocolate,70,3,210
2025-11-01,Hot Latte,75,4,300
2025-11-01,Hot Matcha Latte,80,1,80
2025-11-01,Hot Mocha,80,1,80
2025-11-01,Hot Thai Tea,60,5,300
2025-11-01,Iced Americano,70,1,70
2025-11-01,Iced Caramel Macchiato,90,2,180
2025-11-01,Iced Chocolate,80,3,240
2025-11-01,Iced Latte,80,2,160
2025-11-01,Iced Lemon Tea,65,2,130
2025-11-01,Iced Matcha Latte,90,2,180
2025-11-01,Iced Mocha,85,2,170
2025-11-01,New York Cheesecake,120,1,120
2025-11-01,Peach Tea,65,1,65
2025-11-01,Spinach Quiche,95,1,95
2025-11-01,Yuzu Soda,70,2,140
2025-11-02,Almond Croissant,85,2,170
2025-11-02,Banoffee Pie,100,2,200
2025-11-02,Blueberry Muffin,60,1,60
2025-11-02,Carrot Cake,110,4,440
2025-11-02,Chamomile Tea,55,2,110
2025-11-02,Chocolate Chip Cookie,45,5,225
2025-11-02,Chocolate Fudge Cake,105,1,105
2025-11-02,Club Sandwich,110,1,110
2025-11-02,Coffee Frappe,95,4,380
2025-11-02,Cold Brew,90,1,90
2025-11-02,Fudgy Brownie,75,1,75
2025-11-02,Hot Cappuccino,75,1,75
2025-11-02,Hot Caramel Macchiato,80,4,320
2025-11-02,Hot Chocolate,70,1,70
2025-11-02,Hot Latte,75,1,75
2025-11-02,Hot Matcha Latte,80,1,80
2025-11-02,Iced Americano,70,2,140
2025-11-02,Iced Chocolate,80,1,80
2025-11-02,Iced Lemon Tea,65,2,130
2025-11-02,New York Cheesecake,120,1,120
2025-11-02,Peach Tea,65,2,130
2025-11-02,Red Velvet Cake,110,2,220
2025-11-02,Sausage Roll,75,1,75
2025-11-02,Spinach Quiche,95,1,95
2025-11-02,Strawberry Italian Soda,60,1,60
2025-11-02,Tiramisu,125,1,125
2025-11-03,Almond Croissant,85,1,85
2025-11-03,Banoffee Pie,100,1,100
2025-11-03,Butter Croissant,65,2,130
2025-11-03,Carrot Cake,110,1,110
2025-11-03,Chamomile Tea,55,2,110
2025-11-03,Chicken Pie,85,3,255
2025-11-03,Chocolate Chip Cookie,45,2,90
2025-11-03,Club Sandwich,110,1,110
2025-11-03,Earl Grey Tea,55,2,110
2025-11-03,Espresso,60,4,240
2025-11-03,Fudgy Brownie,75,3,225
2025-11-03,Ham & Cheese Sandwich,85,1,85
2025-11-03,Hot Americano,65,1,65
2025-11-03,Hot Caramel Macchiato,80,2,160
2025-11-03,Hot Chocolate,70,2,140
2025-11-03,Hot Latte,75,1,75
2025-11-03,Hot Mocha,80,1,80
2025-11-03,Hot Thai Tea,60,1,60
2025-11-03,Iced Chocolate,80,3,240
2025-11-03,Iced Latte,80,3,240
2025-11-03,Iced Matcha Latte,90,1,90
2025-11-03,Iced Mocha,85,2,170
2025-11-03,Iced Thai Tea,70,1,70
2025-11-03,Pain au Chocolat,80,3,240
2025-11-03,Peach Tea,65,5,325
2025-11-03,Sausage Roll,75,1,75
2025-11-03,Spinach Quiche,95,2,190
2025-11-03,Strawberry Italian Soda,60,3,180
2025-11-03,Yuzu Soda,70,3,210
2025-11-04,Almond Croissant,85,2,170
2025-11-04,Banoffee Pie,100,2,200
2025-11-04,Butter Croissant,65,1,65
2025-11-04,Carrot Cake,110,3,330
2025-11-04,Chamomile Tea,55,1,55
2025-11-04,Chicken Pie,85,1,85
2025-11-04,Chocolate Chip Cookie,45,3,135
2025-11-04,Chocolate Fudge Cake,105,2,210
2025-11-04,Coffee Frappe,95,3,285
2025-11-04,Espresso,60,3,180
2025-11-04,Ham & Cheese Sandwich,85,1,85
2025-11-04,Hot Caramel Macchiato,80,2,160
2025-11-04,Hot Chocolate,70,2,140
2025-11-04,Hot Matcha Latte,80,1,80
2025-11-04,Hot Thai Tea,60,1,60
2025-11-04,Iced Americano,70,2,140
2025-11-04,Iced Caramel Macchiato,90,3,270
2025-11-04,Iced Chocolate,80,2,160
2025-11-04,Iced Latte,80,2,160
2025-11-04,Iced Mocha,85,1,85
2025-11-04,New York Cheesecake,120,3,360
2025-11-04,Pain au Chocolat,80,2,160
2025-11-04,Peach Tea,65,3,195
2025-11-04,Red Velvet Cake,110,3,330
2025-11-04,Sausage Roll,75,1,75
2025-11-04,Strawberry Italian Soda,60,2,120
2025-11-04,Tiramisu,125,1,125
2025-11-05,Almond Croissant,85,1,85
2025-11-05,Chamomile Tea,55,2,110
2025-11-05,Chicken Pie,85,4,340
2025-11-05,Club Sandwich,110,4,440
2025-11-05,Coffee Frappe,95,1,95
2025-11-05,Earl Grey Tea,55,2,110
2025-11-05,Espresso,60,2,120
2025-11-05,Fudgy Brownie,75,2,150
2025-11-05,Hot Cappuccino,75,1,75
2025-11-05,Hot Caramel Macchiato,80,2,160
2025-11-05,Hot Chocolate,70,2,140
2025-11-05,Hot Latte,75,1,75
2025-11-05,Hot Matcha Latte,80,1,80
2025-11-05,Hot Mocha,80,1,80
2025-11-05,Hot Thai Tea,60,2,120
2025-11-05,Iced Americano,70,2,140
2025-11-05,Iced Caramel Macchiato,90,3,270
2025-11-05,Iced Chocolate,80,1,80
2025-11-05,Iced Latte,80,2,160
2025-11-05,Iced Lemon Tea,65,1,65
2025-11-05,Iced Matcha Latte,90,2,180
2025-11-05,Iced Thai Tea,70,2,140
2025-11-05,New York Cheesecake,120,2,240
2025-11-05,Pain au Chocolat,80,3,240
2025-11-05,Peach Tea,65,2,130
2025-11-05,Sausage Roll,75,1,75
2025-11-05,Strawberry Italian Soda,60,1,60
2025-11-05,Tiramisu,125,4,500
2025-11-06,Almond Croissant,85,4,340
