Date,Product,UnitPrice,Quantity,TotalSales
2025-02-01,Almond Croissant,85,3,255
2025-02-01,Banoffee Pie,100,3,300
2025-02-01,Carrot Cake,110,3,330
2025-02-01,Chamomile Tea,55,2,110
2025-02-01,Chicken Pie,85,1,85
2025-02-01,Chocolate Chip Cookie,45,2,90
2025-02-01,Chocolate Fudge Cake,105,1,105
2025-02-01,Club Sandwich,110,1,110
2025-02-01,Coffee Frappe,95,1,95
2025-02-01,Cold Brew,90,3,270
2025-02-01,Earl Grey Tea,55,1,55
2025-02-01,Espresso,60,2,120
2025-02-01,Flat White,75,1,75
2025-02-01,Fudgy Brownie,75,1,75
2025-02-01,Ham & Cheese Sandwich,85,1,85
2025-02-01,Hot Cappuccino,75,4,300
2025-02-01,Hot Caramel Macchiato,80,4,320
2025-02-01,Hot Latte,75,1,75
2025-02-01,Hot Matcha Latte,80,2,160
2025-02-01,Hot Mocha,80,1,80
2025-02-01,Iced Caramel Macchiato,90,1,90
2025-02-01,Iced Latte,80,2,160
2025-02-01,Iced Lemon Tea,65,4,260
2025-02-01,Iced Matcha Latte,90,2,180
2025-02-01,Iced Thai Tea,70,1,70
2025-02-01,New York Cheesecake,120,1,120
2025-02-01,Sausage Roll,75,1,75
2025-02-01,Spinach Quiche,95,1,95
2025-02-02,Almond Croissant,85,2,170
2025-02-02,Butter Croissant,65,1,65
2025-02-02,Carrot Cake,110,3,330
2025-02-02,Chamomile Tea,55,1,55
2025-02-02,Chicken Pie,85,1,85
2025-02-02,Chocolate Chip Cookie,45,1,45
2025-02-02,Chocolate Fudge Cake,105,1,105
2025-02-02,Club Sandwich,110,3,330
2025-02-02,Coffee Frappe,95,3,285
2025-02-02,Cold Brew,90,3,270
2025-02-02,Espresso,60,4,240
2025-02-02,Flat White,75,1,75
2025-02-02,Ham & Cheese Sandwich,85,2,170
2025-02-02,Hot Americano,65,1,65
2025-02-02,Hot Cappuccino,75,1,75
2025-02-02,Hot Caramel Macchiato,80,3,240
2025-02-02,Hot Chocolate,70,4,280
2025-02-02,Hot Latte,75,1,75
2025-02-02,Hot Matcha Latte,80,1,80
2025-02-02,Hot Mocha,80,1,80
2025-02-02,Iced Americano,70,1,70
2025-02-02,Iced Chocolate,80,1,80
2025-02-02,Iced Latte,80,1,80
2025-02-02,Iced Lemon Tea,65,3,195
2025-02-02,Iced Matcha Latte,90,5,450
2025-02-02,Iced Mocha,85,3,255
2025-02-02,Pain au Chocolat,80,1,80
2025-02-02,Red Velvet Cake,110,3,330
2025-02-02,Spinach Quiche,95,2,190
2025-02-02,Strawberry Italian Soda,60,1,60
2025-02-02,Tiramisu,125,1,125
2025-02-02,Yuzu Soda,70,2,140
2025-02-03,Almond Croissant,85,3,255
2025-02-03,Blueberry Muffin,60,1,60
2025-02-03,Butter Croissant,65,1,65
2025-02-03,Carrot Cake,110,1,110
2025-02-03,Chamomile Tea,55,1,55
2025-02-03,Chicken Pie,85,2,170
2025-02-03,Chocolate Fudge Cake,105,2,210
2025-02-03,Club Sandwich,110,2,220
2025-02-03,Coffee Frappe,95,5,475
2025-02-03,Cold Brew,90,1,90
2025-02-03,Espresso,60,3,180
2025-02-03,Fudgy Brownie,75,4,300
2025-02-03,Ham & Cheese Sandwich,85,2,170
2025-02-03,Hot Cappuccino,75,1,75
2025-02-03,Hot Chocolate,70,1,70
2025-02-03,Hot Latte,75,2,150
2025-02-03,Hot Matcha Latte,80,3,240
2025-02-03,Iced Americano,70,1,70
2025-02-03,Iced Chocolate,80,1,80
