Date,Product,UnitPrice,Quantity,TotalSales
2025-03-01,Banoffee Pie,100,1,100
2025-03-01,Butter Croissant,65,1,65
2025-03-01,Chamomile Tea,55,1,55
2025-03-01,Chicken Pie,85,2,170
2025-03-01,Chocolate Chip Cookie,45,2,90
2025-03-01,Chocolate Fudge Cake,105,2,210
2025-03-01,Cold Brew,90,1,90
2025-03-01,Fudgy Brownie,75,1,75
2025-03-01,Ham & Cheese Sandwich,85,2,170
2025-03-01,Hot Americano,65,1,65
2025-03-01,Hot Cappuccino,75,1,75
2025-03-01,Hot Caramel Macchiato,80,2,160
2025-03-01,Hot Chocolate,70,3,210
2025-03-01,Hot Latte,75,1,75
2025-03-01,Hot Mocha,80,1,80
2025-03-01,Hot Thai Tea,60,1,60
2025-03-01,Iced Chocolate,80,1,80
2025-03-01,Iced Latte,80,3,240
2025-03-01,Iced Lemon Tea,65,1,65
2025-03-01,Iced Mocha,85,1,85
2025-03-01,New York Cheesecake,120,1,120
2025-03-01,Peach Tea,65,2,130
2025-03-01,Red Velvet Cake,110,1,110
2025-03-01,Sausage Roll,75,1,75
2025-03-01,Spinach Quiche,95,1,95
2025-03-01,Strawberry Italian Soda,60,1,60
2025-03-01,Tiramisu,125,1,125
2025-03-02,Blueberry Muffin,60,1,60
2025-03-02,Butter Croissant,65,1,65
2025-03-02,Carrot Cake,110,1,110
2025-03-02,Chamomile Tea,55,2,110
2025-03-02,Chocolate Chip Cookie,45,1,45
2025-03-02,Chocolate Fudge Cake,105,1,105
2025-03-02,Coffee Frappe,95,2,190
2025-03-02,Cold Brew,90,1,90
2025-03-02,Earl Grey Tea,55,2,110
2025-03-02,Ham & Cheese Sandwich,85,1,85
2025-03-02,Hot Cappuccino,75,1,75
2025-03-02,Hot Chocolate,70,1,70
2025-03-02,Hot Latte,75,1,75
2025-03-02,Hot Mocha,80,2,160
2025-03-02,Iced Americano,70,1,70
2025-03-02,Iced Caramel Macchiato,90,1,90
2025-03-02,Iced Latte,80,2,160
2025-03-02,New York Cheesecake,120,1,120
